organisms,Organism Groups,Assembly,Size(Mb),GC%
Crenalkalicoccus roseus,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004761865.1,4.43125,73.9
Hymenobacter aquaticus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004765605.1,5.51175,62.2
Desulfosporosinus fructosivorans,Bacteria;Terrabacteria group;Firmicutes,GCA_004766045.1,6.12227,42.3
Leptospira tipperaryensis,Bacteria;Spirochaetes;Spirochaetia,GCA_001729245.1,4.59189,42.4
Actinomyces tangfeifanii,Bacteria;Terrabacteria group;Actinobacteria,GCA_001856685.1,2.20783,51.9
Corynebacterium belfantii,Bacteria;Terrabacteria group;Actinobacteria,GCA_900205605.1,2.60942,53.6
Mycoplasma todarodis,Bacteria;Terrabacteria group;Tenericutes,GCA_004335995.1,1.00788,30.9
Mycoplasma marinum,Bacteria;Terrabacteria group;Tenericutes,GCA_004335975.1,1.17115,28.4
Halorhabdus rudnickae,Archaea;Euryarchaeota;Stenosarchaea group,GCA_900880625.1,3.3625,61.3
Leptospira fletcheri,Bacteria;Spirochaetes;Spirochaetia,GCA_004769195.1,3.73366,47.3
Actinobacillus porcinus,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_901764995.1,2.27624,41
Caproiciproducens galactitolivorans,Bacteria;Terrabacteria group;Firmicutes,GCA_004768785.1,2.57564,48.1
Leptospira kanakyensis,Bacteria;Spirochaetes;Spirochaetia,GCA_004769235.1,4.13823,38.5
Leptospira bourretii,Bacteria;Spirochaetes;Spirochaetia,GCA_004770145.1,4.18316,38.2
Leptospira selangorensis,Bacteria;Spirochaetes;Spirochaetia,GCA_004769745.1,4.19778,40
Leptospira ognonensis,Bacteria;Spirochaetes;Spirochaetia,GCA_004770745.1,3.98811,39.7
Leptospira noumeaensis,Bacteria;Spirochaetes;Spirochaetia,GCA_004770765.1,4.1084,38.3
Leptospira dzoumogneensis,Bacteria;Spirochaetes;Spirochaetia,GCA_004770895.1,4.11832,41
Leptospira idonii,Bacteria;Spirochaetes;Spirochaetia,GCA_004770995.1,4.08803,41.2
Leptospira ilyithenensis,Bacteria;Spirochaetes;Spirochaetia,GCA_004771005.1,4.21189,40.5
Flavobacterium sediminis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_003148385.1,3.4413,35.2
Arthrobacter silvisoli,Bacteria;Terrabacteria group;Actinobacteria,GCA_003369445.1,4.34968,66.7
Leptospira fluminis,Bacteria;Spirochaetes;Spirochaetia,GCA_004771275.1,3.74642,47.7
Nocardioides daphniae,Bacteria;Terrabacteria group;Actinobacteria,GCA_004777465.1,3.55882,71
Citrobacter murliniae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004801125.1,5.02492,50.6
Sphingomonas olei,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004801655.1,3.49693,66.7
Leptospira gomenensis,Bacteria;Spirochaetes;Spirochaetia,GCA_004770155.1,4.28402,46.1
Leptospira montravelensis,Bacteria;Spirochaetes;Spirochaetia,GCA_004770045.1,4.02138,37.5
Leptospira bouyouniensis,Bacteria;Spirochaetes;Spirochaetia,GCA_004770625.1,4.11837,37.1
Leptospira koniamboensis,Bacteria;Spirochaetes;Spirochaetia,GCA_004769555.1,4.31973,39
Leptospira perdikensis,Bacteria;Spirochaetes;Spirochaetia,GCA_004769575.1,4.00198,38.5
Leptospira langatensis,Bacteria;Spirochaetes;Spirochaetia,GCA_004770615.1,4.08939,44.8
Leptospira sarikeiensis,Bacteria;Spirochaetes;Spirochaetia,GCA_004769615.1,4.37317,40.3
Leptospira jelokensis,Bacteria;Spirochaetes;Spirochaetia,GCA_004769775.1,4.12463,38.9
Leptospira kemamanensis,Bacteria;Spirochaetes;Spirochaetia,GCA_004769665.1,3.76937,38.9
Leptospira dzianensis,Bacteria;Spirochaetes;Spirochaetia,GCA_004769735.1,4.30025,45.6
Leptospira putramalaysiae,Bacteria;Spirochaetes;Spirochaetia,GCA_004770035.1,4.98694,42.6
Leptospira semungkisensis,Bacteria;Spirochaetes;Spirochaetia,GCA_004770055.1,3.94408,42.8
Leptospira andrefontaineae,Bacteria;Spirochaetes;Spirochaetia,GCA_004770105.1,4.28189,39.9
Marinobacter confluentis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_008795935.1,3.74353,57.2
Streptococcus rubneri,Bacteria;Terrabacteria group;Firmicutes,GCA_004785935.1,2.16009,41.6
Halorussus ruber,Archaea;Euryarchaeota;Stenosarchaea group,GCA_004765785.1,4.31831,64.2
Halorussus salinus,Archaea;Euryarchaeota;Stenosarchaea group,GCA_004765815.2,4.75324,65.1
Leptospira congkakensis,Bacteria;Spirochaetes;Spirochaetia,GCA_004770265.1,4.00384,38.2
Leptospira mtsangambouensis,Bacteria;Spirochaetes;Spirochaetia,GCA_004770475.1,4.08387,38.2
Leptospira bandrabouensis,Bacteria;Spirochaetes;Spirochaetia,GCA_004770555.1,4.16745,37.7
Geodermatophilus dictyosporus,Bacteria;Terrabacteria group;Actinobacteria,GCA_900115505.1,4.69005,75.5
Halomonas andesensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003989795.1,3.90773,52.1
Sphingomonas naasensis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_011762145.1,4.33512,67.7
Sphingomonas gei,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004792685.1,4.66158,65.9
Marinicauda pacifica,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_009806145.1,3.00827,64.8
Marinicauda algicola,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004793685.1,3.42647,68.2
Bacteroides caecimuri,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004793675.1,4.39053,42.1
Brenneria nigrifluens DSM 30175 = ATCC 13028,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_005484965.1,4.8917,55.9
Ningiella ruwaisensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004798935.1,4.07751,43.2
Rhodanobacter lindaniclasticus,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004799035.1,4.0605,67.6
Robertkochia marina,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_004799345.1,3.58154,43.6
Youngimonas vesicularis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004799325.1,3.79003,63.6
Mycobacterium pseudokansasii,Bacteria;Terrabacteria group;Actinobacteria,GCA_900566075.1,6.42579,66.2
Methylocystis heyeri,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004802635.2,4.72779,63.0198
Mycobacterium innocens,Bacteria;Terrabacteria group;Actinobacteria,GCA_900566055.1,6.18706,66.1
Mycobacterium attenuatum,Bacteria;Terrabacteria group;Actinobacteria,GCA_900566065.1,6.34499,65.9
Yersinia hibernica,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004124235.1,4.80344,47.9076
Arthrobacter echini,Bacteria;Terrabacteria group;Actinobacteria,GCA_004803505.1,3.17673,67
Lampropedia puyangensis,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004833285.1,3.97469,54
Mediterraneibacter butyricigenes,Bacteria;Terrabacteria group;Firmicutes,GCA_003574295.1,3.03449,44.1
Aureimonas flava,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_003583935.1,4.09017,70
Bradyrhizobium sacchari,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_007828095.1,8.53003,63.8
Sinomonas albida,Bacteria;Terrabacteria group;Actinobacteria,GCA_004919045.1,3.77989,69.5
Hydrocarboniclastica marina,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004851605.1,4.2585,57.9501
Microbacterium hydrothermale,Bacteria;Terrabacteria group;Actinobacteria,GCA_004854025.1,3.58054,71
Rhizobium rosettiformans W3,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004912135.1,4.97741,61.6
Glycomyces paridis,Bacteria;Terrabacteria group;Actinobacteria,GCA_004912155.1,5.39901,71.2
Rhizobium ipomoeae,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004912165.1,4.38553,60.4
Nocardioides caeni,Bacteria;Terrabacteria group;Actinobacteria,GCA_004912195.1,4.07587,71.2
Bradyrhizobium macuxiense,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_007993935.1,8.82023,64
Bradyrhizobium centrolobii,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_001641635.1,10.1111,63.2
Subtercola vilae,Bacteria;Terrabacteria group;Actinobacteria,GCA_004923255.1,4.04314,65.1
Streptomyces hawaiiensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_004803895.1,8.87693,71
Pseudomonas inefficax,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900277125.1,6.24004,62.8
Desulfovibrio gilichinskyi,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_900177375.1,3.96254,42.3
Tissierella creatinini,Bacteria;Terrabacteria group;Firmicutes,GCA_005046945.1,2.61144,35.7
Paracoccus gahaiensis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_005048225.1,4.18208,67.5
Paracoccus hibiscisoli,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_005048265.1,3.95869,67.1
Sphingobacterium alkalisoli,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_005049105.1,5.78004,40.7
Bacillus kyonggiensis,Bacteria;Terrabacteria group;Firmicutes,GCA_005116465.1,4.82042,38.2
Dysosmobacter welbionis,Bacteria;Terrabacteria group;Firmicutes,GCA_005121165.1,3.57611,58.9
Phreatobacter stygius,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_005144885.1,7.35467,66.7
Prauserella endophytica,Bacteria;Terrabacteria group;Actinobacteria,GCA_005146945.1,7.90852,70.4
Lactobacillus suantsaii,Bacteria;Terrabacteria group;Firmicutes,GCA_004115745.1,2.43087,51.2
Polyangium fumosum,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_005144585.1,12.9816,68.8
Alkalihalobacillus hwajinpoensis,Bacteria;Terrabacteria group;Firmicutes,GCA_005144865.1,4.09152,39.7
Puteibacter caeruleilacunae,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_005217565.1,8.07507,37.8
Salinimonas lutimaris,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_005222225.1,4.12353,49.8
Metallosphaera prunae,Archaea;TACK group;Crenarchaeota,GCA_005222525.1,2.20258,46.2
Lactobacillus chiayiensis,Bacteria;Terrabacteria group;Firmicutes,GCA_004123795.1,2.87209,47.1
Nibricoccus aquaticus,Bacteria;PVC group;Verrucomicrobia,GCA_002310495.1,4.73045,62.2
Streptomyces lasalocidi,Bacteria;Terrabacteria group;Actinobacteria,GCA_005280215.1,8.50347,72.6
Massilia umbonata,Bacteria;Proteobacteria;Betaproteobacteria,GCA_005280315.1,7.42617,65.3
Anaerostipes rhamnosivorans,Bacteria;Terrabacteria group;Firmicutes,GCA_005280655.1,3.58886,44.5
Echinicola rosea,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_005281475.1,6.06453,44.1
Pseudomonas asiatica,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_009932335.1,5.96904,62.5
Vibrio gallaecicus,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_013416885.1,4.99922,41.2
Desulfohalovibrio reitneri,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000711295.1,3.39091,65.5
Gandjariella thermophila,Bacteria;Terrabacteria group;Actinobacteria,GCA_005405885.1,6.1152,72
Streptomyces antimycoticus,Bacteria;Terrabacteria group;Actinobacteria,GCA_005405925.1,11.1742,70.9
Desulfoglaeba alkanexedens ALDC,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_005377625.1,3.36558,59.3
Sphaerospermopsis reniformis,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_005402885.1,6.02502,37.5
Dolichospermum planctonicum,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_005402965.1,4.571,37.7
Enterococcus viikkiensis,Bacteria;Terrabacteria group;Firmicutes,GCA_005405345.1,2.54531,40.3
Enterococcus xiangfangensis,Bacteria;Terrabacteria group;Firmicutes,GCA_005405365.1,2.65254,39
Lactobacillus plajomi,Bacteria;Terrabacteria group;Firmicutes,GCA_005405405.1,2.76206,48.7
Lactobacillus modestisalitolerans,Bacteria;Terrabacteria group;Firmicutes,GCA_005405425.1,2.74923,48.6
Lactobacillus nenjiangensis,Bacteria;Terrabacteria group;Firmicutes,GCA_005405445.1,1.99456,38.7
Altererythrobacter lutipelagi,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_005434975.1,3.09765,60.6
Sphingomonas pokkalii,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_003096275.1,4.22396,66.2
Brenneria rubrifaciens,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_005484945.1,4.02809,52.6
Pectobacterium polonicum,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_005497185.1,4.83613,51.3
Bacillus siralis,Bacteria;Terrabacteria group;Firmicutes,GCA_005502275.1,5.0064,37.9
Lysobacter pythonis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003697345.1,2.92949,65.7
Pelagicola litoralis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_005518135.1,3.57084,54.7
Chakrabartia godavariana,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_005518185.1,3.16892,63.8
Acinetobacter cumulans,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003024525.3,3.71087,40.3402
Mycolicibacterium aubagnense,Bacteria;Terrabacteria group;Actinobacteria,GCA_010730955.1,6.32193,66.3368
Mycolicibacterium phocaicum,Bacteria;Terrabacteria group;Actinobacteria,GCA_010731115.1,5.8532,67.1
Sphingobacterium daejeonense,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_901472535.1,4.73236,37.3
Hathewaya histolytica,Bacteria;Terrabacteria group;Firmicutes,GCA_901482605.1,2.74079,29.3
Hymenobacter jeollabukensis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_005771675.1,6.17774,64.4
Phragmitibacter flavus,Bacteria;PVC group;Verrucomicrobia,GCA_005780165.1,5.91093,56.9
Maribacter flavus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_008386635.1,4.3036,41.8
Maribacter aurantiacus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_005780245.1,4.15874,41.8
Thalassotalea litorea,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_005843925.1,3.88465,43.9
Paraoceanicella profunda,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_005887635.2,5.46858,70.1162
Nonomuraea turkmeniaca,Bacteria;Terrabacteria group;Actinobacteria,GCA_005889735.1,11.3509,69.7
Nonomuraea zeae,Bacteria;Terrabacteria group;Actinobacteria,GCA_005889725.1,13.6137,71
Actinomadura geliboluensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_005889745.1,9.42097,72.2
Salipaludibacillus keqinensis,Bacteria;Terrabacteria group;Firmicutes,GCA_003226325.1,4.15043,39.6
Pedobacter ureilyticus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_005925345.1,4.97619,38.2
Paenibacillus sinopodophylli,Bacteria;Terrabacteria group;Firmicutes,GCA_005930355.1,7.04101,46.1
Selenomonas felix,Bacteria;Terrabacteria group;Firmicutes,GCA_900186465.1,2.40315,56.8
Brachybacterium timonense,Bacteria;Terrabacteria group;Actinobacteria,GCA_900258505.1,3.09259,67.3
Dyadobacter sediminis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_005860765.1,6.19985,44.9
Dyadobacter luticola,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_005860805.1,6.40871,46.9
Saccharomonospora piscinae,Bacteria;Terrabacteria group;Actinobacteria,GCA_005862235.1,4.89761,71
Spirosoma lacussanchae,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_005870035.1,6.33125,55.2
Sinomonas susongensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_005877005.1,3.76645,68.6
Brevundimonas vancanneytii,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_901421975.1,3.38335,67.3
Peptoniphilus catoniae,Bacteria;Terrabacteria group;Firmicutes,GCA_901447155.2,1.72547,33.4
Haloimpatiens lingqiaonensis,Bacteria;Terrabacteria group;Firmicutes,GCA_901447495.1,3.29539,30.7
Rhodoluna limnophila,Bacteria;Terrabacteria group;Actinobacteria,GCA_005845345.1,1.42425,53.8
Pseudoalteromonas aurantia,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_005886875.1,4.76442,41
Paenibacillus thermoaerophilus,Bacteria;Terrabacteria group;Firmicutes,GCA_005938195.1,3.70229,59.1
Alcanivorax gelatiniphagus,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_005938655.1,4.21537,65.2
Inhella inkyongensis,Bacteria;Proteobacteria;Betaproteobacteria,GCA_005952805.1,4.08441,66.2
Streptomyces chryseus,Bacteria;Terrabacteria group;Actinobacteria,GCA_005981965.1,7.64956,71.2
Streptomyces albidochromogenes,Bacteria;Terrabacteria group;Actinobacteria,GCA_005981925.1,7.26531,71.5
Pantoea endophytica,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002858935.1,5.1145,54.8
Glutamicibacter creatinolyticus,Bacteria;Terrabacteria group;Actinobacteria,GCA_006094275.1,3.30913,65.6
Neptunomonas concharum,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_008630635.1,3.56199,46.4
Algibacter aestuarii,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_006148925.1,3.14458,33.2
Rubellimicrobium roseum,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_006152145.1,4.85124,69.1
Leptospira stimsonii,Bacteria;Spirochaetes;Spirochaetia,GCA_003545885.1,4.83746,42.6
Leptospira yasudae,Bacteria;Spirochaetes;Spirochaetia,GCA_003545925.1,4.44457,45.5
Antarcticibacterium flavum,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_006159205.1,4.35368,40.9
Extibacter muris,Bacteria;Terrabacteria group;Firmicutes,GCA_004345005.1,3.71143,47.9
Chlorobaculum thiosulfatiphilum,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_006265165.1,2.61277,56.8
Prosthecochloris vibrioformis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_006265245.1,2.30568,52.1
Paenibacillus hemerocallicola,Bacteria;Terrabacteria group;Firmicutes,GCA_006265175.1,9.65212,54.1
Acidaminococcus provencensis,Bacteria;Terrabacteria group;Firmicutes,GCA_900291475.1,2.60549,53.2
Bartonella mastomydis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_900185775.1,2.04503,38.4
Corynebacterium tapiri,Bacteria;Terrabacteria group;Actinobacteria,GCA_006334925.1,2.25372,62.3
Nocardioides albidus,Bacteria;Terrabacteria group;Actinobacteria,GCA_006335005.1,4.4839,71.8
Streptomyces sedi,Bacteria;Terrabacteria group;Actinobacteria,GCA_006335015.1,6.6038,72.9
Rhizobium smilacinae,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_006335145.1,6.00605,59
Sphingomonas japonica,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_011762085.1,2.86255,66.3
Nocardioides litoris,Bacteria;Terrabacteria group;Actinobacteria,GCA_006346315.1,4.65818,74.1
Nocardioides plantarum,Bacteria;Terrabacteria group;Actinobacteria,GCA_006346395.1,4.68132,72.1
Miniimonas arenae,Bacteria;Terrabacteria group;Actinobacteria,GCA_006351005.1,3.40269,73.6
Paracoccus sediminilitoris,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_003259195.1,3.63503,64.5
Chlamydia buteonis,Bacteria;PVC group;Chlamydiae,GCA_900634605.1,1.14655,38.3
Alcanivorax profundi,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003597125.1,3.73738,57.5
Amycolatopsis panacis,Bacteria;Terrabacteria group;Actinobacteria,GCA_003600245.1,6.97836,69.4
Thermomonospora catenispora,Bacteria;Terrabacteria group;Actinobacteria,GCA_006363815.1,5.3468,72.9
Lysinibacillus timonensis,Bacteria;Terrabacteria group;Firmicutes,GCA_900291985.1,4.22024,35.7
Microbacterium timonense,Bacteria;Terrabacteria group;Actinobacteria,GCA_900292075.1,3.96123,70.1
Pelagibaculum spongiae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003097315.1,4.98572,43
Erwinia mediterraneensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900604315.1,4.27592,55
Methylophilus medardicus,Bacteria;Proteobacteria;Betaproteobacteria,GCA_006363915.1,2.60308,49.8
Corallococcus exiguus,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_009909105.1,10.4095,69.6
Emcibacter nanhaiensis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_006385175.1,3.96383,56.2
Mycoplasma equirhinis,Bacteria;Terrabacteria group;Tenericutes,GCA_006385185.1,0.73041,29.5
Luteibacter pinisoli,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_006385595.1,4.6107,66.1
Mycoplasma falconis,Bacteria;Terrabacteria group;Tenericutes,GCA_006385795.1,0.672402,28.1
Cellulomonas oligotrophica,Bacteria;Terrabacteria group;Actinobacteria,GCA_013409875.1,4.15032,75.2
Variovorax ginsengisoli,Bacteria;Proteobacteria;Betaproteobacteria,GCA_006438845.1,4.55464,66.5
Roseomonas nepalensis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_006438825.1,6.53521,71.9
Sphingomonas oligophenolica,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_006438955.1,3.08941,65.8
Phycicoccus bigeumensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_006438965.1,4.22382,70
Sphingomonas glacialis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_006439055.1,5.12617,66
Ochrobactrum pecoris,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_006376675.1,5.05734,55.9
Methylotetracoccus oryzae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_006175985.1,4.8396,63
Ochrobactrum gallinifaecis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_006476605.1,3.74242,51
Bradyrhizobium rifense,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_008123425.1,9.95293,63
Crocosphaera subtropica ATCC 51142,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_000017845.1,5.46038,37.967
Rippkaea orientalis PCC 8802,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_000024045.1,4.80335,39.7978
Crocosphaera chwakensis CCY0110,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_000169335.1,5.88053,36.7
Corynebacterium senegalense,Bacteria;Terrabacteria group;Actinobacteria,GCA_900411315.1,2.31185,68.6
Flavobacterium jejuense,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_006491595.2,4.75366,29.9
Mycoplasma neophronis,Bacteria;Terrabacteria group;Tenericutes,GCA_006491995.1,0.747412,30.7
Mycoplasma nasistruthionis,Bacteria;Terrabacteria group;Tenericutes,GCA_006228185.1,0.80323,29
Nocardioides humi,Bacteria;Terrabacteria group;Actinobacteria,GCA_006494775.1,6.22062,72.3
Tepidiphilus succinatimandens,Bacteria;Proteobacteria;Hydrogenophilalia,GCA_006503695.1,2.36957,65.9
Pantoea eucalypti,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_009646115.1,4.79899,54.1808
